Date,Open,High,Low,Close,Adj Close,Volume
2015-09-03,3.284290,3.292140,3.127140,3.276430,1.436023,35636
2015-09-04,3.197860,3.260710,3.150710,3.166430,1.387812,36527
2015-09-08,3.142860,3.284290,3.103570,3.260710,1.429134,38691
2015-09-09,3.300000,3.417860,3.245000,3.417860,1.498011,48364
2015-09-10,3.300000,3.417860,3.292140,3.417860,1.498011,38818
2015-09-11,3.331430,3.441430,3.300000,3.300000,1.446354,29655
2015-09-14,3.229290,3.276430,3.064290,3.135000,1.374036,102709
2015-09-15,3.135000,3.174290,3.025000,3.142860,1.377481,57145
2015-09-16,3.064290,3.182140,3.032860,3.182140,1.394697,54855
2015-09-17,3.174290,3.252860,3.119290,3.119290,1.367151,115945
2015-09-18,3.072140,3.072140,3.072140,3.072140,1.346485,19218
2015-09-21,3.119290,3.135000,3.072140,3.127140,1.370591,7382
2015-09-22,3.064290,3.142860,3.001430,3.142860,1.377481,29145
2015-09-23,3.142860,3.182140,3.119290,3.150710,1.380922,29655
2015-09-24,3.025000,3.252860,3.025000,3.245000,1.422248,42000
2015-09-25,3.213570,3.252860,3.158570,3.252860,1.425693,4073
2015-09-28,3.182140,3.252860,3.182140,3.197860,1.401587,18073
2015-09-29,3.229290,3.237140,3.142860,3.237140,1.418803,5855
2015-09-30,3.213570,3.292140,3.213570,3.292140,1.442909,2164
2015-10-01,3.284290,3.284290,3.260710,3.284290,1.439469,33855
2015-10-02,3.213570,3.292140,3.213570,3.276430,1.436023,15909
2015-10-05,3.292140,3.347140,3.252860,3.252860,1.425693,43018
2015-10-06,3.252860,3.300000,3.190000,3.190000,1.398142,83618
2015-10-07,3.331430,3.331430,3.166430,3.190000,1.398142,148018
2015-10-08,3.150710,3.182140,3.119290,3.119290,1.367151,66436
2015-10-09,3.087860,3.142860,3.040710,3.095710,1.356816,45182
2015-10-13,3.080000,3.135000,3.072140,3.135000,1.374036,116455
2015-10-14,3.111430,3.111430,3.064290,3.072140,1.346485,10309
2015-10-15,3.056430,3.190000,3.056430,3.190000,1.398142,12982
2015-10-16,3.103570,3.182140,3.103570,3.182140,1.394697,7891
